Input,Text
LANCÔME Advanced Génifique Youth Activating Serum Duo,"Water, Bifida Ferment Lysate, Glycerin, Alcohol Denat., Dimethicone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Ascorbyl Glucoside, Sodium Hyaluronate, Sodium Hydroxide, Sodium Benzoate, Phenoxyethanol, Adenosine, Faex Extract/Yeast Extract/Extrait De Levure, Peg-20 Methyl Glucose Sesquistearate, Peg-60 Hydrogenated Castor Oil, Salicyloyl Phytosphingosine, Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate, Limonene, Xanthan Gum, Caprylyl Glycol, Disodium Edta, Octyldodecanol, Citronellol, Fragrance."
PHILOSOPHY Purity Made Simple Hydra-Bounce Eye Gel,"Water, Glycerin, Caprylic/Capric Triglyceride, Butylene Glycol, Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether, Limnanthes Alba (Meadowfoam) Seed Oil, Polyglyceryl-2 Diisostearate, Polysorbate 20, Butyrospermum Parkii (Shea) Butter Extract, Phenoxyethanol, Olea Europaea (Olive) Fruit Oil, Tocopheryl Acetate, Bisabolol, Cetearyl Olivate, Cyclopentasiloxane, Sorbitan Olivate, Caffeine, Panthenol, Propylene Glycol, Creatine, Dimethiconol, Salvia Hispanica Seed Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Peg-8, Lecithin, Cyclohexasiloxane, Hydrogenated Lecithin, Ascorbyl Glucoside, Bht, Disodium Edta, Ginkgo Biloba Leaf Extract, Sodium Hydroxide, Tocopherol, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Glucose, Lactic Acid, Chlorphenesin, Alcohol Denat., Ascorbyl Palmitate, Pantolactone, Potassium Sorbate, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Pongamia Pinnata Seed Extract, Sorbic Acid, Citric Acid, Ascorbic Acid, Sodium Benzoate, Angelica Archangelica Root Extract, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Maltodextrin, Polyglyceryl-3 Diisostearate, Magnesium Aluminum Silicate, Xanthan Gum, Farnesol, Caprylyl Glycol, Sclerotium Gum, Fd&C Yellow No. 5 (Ci 19140)."
PETER THOMAS ROTH Oily Problem Skin Instant Mineral Powder SPF 30,"Titanium Dioxide 13.65%, Zinc Oxide 14.70%, Illite, Silica, Barium Sulfate, Tapioca Starch, Aluminum Starch Octenylsuccinate, Aluminum Hydroxide, Stearic Acid, Salicylic Acid, Salix Alba (Willow) Bark Extract, Retinyl Palmitate (Vitamin A), Ascorbyl Palmitate (Vitamin C), Tocopheryl Acetate (Vitamin E), Dimethicone/Vinyl Dimethicone Crosspolymer, Magnesium Myristate, Kaolin, Maltodextrin, Triethoxycaprylylsilane, Water, Butylene Glycol, Chlorphenesin, Potassium Sorbate, Tetrasodium EDTA. MayContain: Mica, Bismuth Oxychloride, Iron Oxides, Manganese Violet, Chromium Oxide Greens, Chromium Hydroxide Green, Ferric Ferrocyanide, Aluminum Powder, Carmine."
INDIE LEE Clearing Mask,"Water, Bentonite, Zinc Oxide, Colloidal Sulfur, Propanediol, Glycolic Acid, Salicylic Acid, Hyaluronic Acid, Camphor, Cetyl Alcohol, Glyceryl Stearate, Chondrus Crispus Extract, Anthemis Nobilis Flower Extract, Titanium Dioxide, Limonene, Ethylhexylglycerin, Potassium Sorbate."
AMOREPACIFIC Resort Collection Sun Protection Mist Broad Spectrum SPF 30 Sunscreen,"Polyethylene, Isopropyl Palmitate, Polymethylsilsesquioxane, Homosalate, Octocrylene, Phenyl Trimethicone, Squalane, Butyloctyl Salicylate, Helianthus Annuus (Sunflower) Seed Wax, Ethylhexyl Salicylate, Ricinus Communis (Castor) Seed Oil, Butyl Methoxydibenzoylmethane, Phyllostachis Bambusoides Juice, Portulaca Oleracea Extract, Prunus Mume Fruit Extract, Camellia Sinensis Seed Oil, Glyceryl Caprylate, Butylene Glycol, Alcohol, Fragrance."
PETER THOMAS ROTH PROfessional Strength 40% Triple Acid Peel,"Water, Glycolic Acid, Sodium Hydroxide, Arginine, Pentylene Glycol, Sodium Pca, Polysorbate 20, Soyethyl Morpholinium Ethosulfate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 4-T-Butylcyclohexanol, Cyclodextrin, Glycerin, Mandelic Acid, Myristyl Alcohol, Salicylic Acid, Sodium Hyaluronate, Tocopherol, Ascorbyl Palmitate, Cholesterol, Lecithin, Isohexadecane, Methyldihydrojasmonate, Glyceryl Undecylenate, Sucrose Tetrastearate Triacetate, Hydroxyphenyl Propamidobenzoic Acid, Zea Mays (Corn) Oil, Sodium Borate, Xantham Gum, Polysorbate 80, Sorbitan Oleate, Dipropylene Glycol, Butylene Glycol, Phenoxyethanol, Mica."
FRESH Lotus Youth Preserve Rescue Mask,"Water, Glycerin, Propylene Glycol Dicaprylate/Dicaprate, Pentylene Glycol, Cetearyl Alcohol, Lithothamnion Calcareum Powder, Caprylic/Capric Triglyceride, Cetearyl Isononanoate, Betaine, Polyacrylate Crosspolymer-6, Steareth-21, Laminaria Saccharina Extract, Cocos Nucifera (Coconut) Shell Powder, Nelumbo Nucifera Seed Powder, Citrus Limon (Lemon) Peel Oil, Cucumis Sativus (Cucumber) Fruit Extract, Ficus Carica (Fig) Fruit Extract, Averrhoa Carambola Leaf Extract, Crithmum Maritimum Extract, Nelumbo Nucifera Flower Extract, Hibiscus Esculentus Fruit Extract, Tocopheryl Acetate, Ascorbyl Tetraisopalmitate, Tocopherol, Behenyl Alcohol, Cetearyl Glucoside, Dimethicone, Caprylyl Glycol, Butylene Glycol, Cetyl Alcohol, Sodium Polyacrylate Starch, Stearyl Alcohol, Disodium EDTA, Sodium Hyaluronate, BHT, Tetrasodium EDTA, Hydrogenated Vegetable Oil, Caramel, Xanthan Gum, Sorbic Acid, Phenoxyethanol, Limonene, Citral."
ORIGINS A Perfect World™ SPF 20 Age-Defense Eye Cream with White Tea,"Titanium Dioxide 5.7%, Zinc Oxide 3.8%Water, Isocetyl Stearoyl Stearate, Butylene Glycol, C12-15 Alkyl Benzoate, Cetyl Alcohol, Butyrospermum Parkii (Shea Butter), Laureth-4, Dimethicone, Trehalose, Polyethylene, Peg-100 Stearate, Cetyl Esters, Camellia Sinensis (White Tea) Leaf Extract, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Solanum Tuberosum (Potato) Pulp Extract, Opuntia Tuna Extract, Lycium Chinense (Wolfberry) Fruit Extract, Eriobotrya Japonica (Loquat) Leaf Extract, Molasses Extract/Saccharum Officinarum/Extrait De Melasse, Betula Alba (Birch) Bark Extract, Passiflora Incarnata Flower Extract, Lythrum Salicaria Extract, Saccharomyces Lysate Extract, Phytosphingosine, Aminopropyl Ascorbyl Phosphate, Leontopodium Alpinum Extract, Algae Extract, Sodium Hyaluronate, Yeast Extract/Faex/Extrait De Levure, Boswellia Serrata Extract, Astrocaryum Murumuru Seed Butter, Ergothioneine, Oryzanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lauric Acid, Glycerin, Squalane, Tocopheryl Acetate, Isostearic Acid, Caprylyl Glycol, Polyhydroxystearic Acid, Polysorbate 60, Sodium Pca, Urea, Sodium Phytate, Aluminum Hydroxide, Tromethamine, Hexylene Glycol, Polyquaternium-51, Lecithin, Bht, Phenoxyethanol, Mica, Iron Oxides (Ci 77491, Ci 77492, Ci 77499) Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
KORRES Wild Rose Exfoliating Cleanser,"Water, Aloe Barbadensis Leaf Juice, Sodium Cocoyl Isethionate, Coco-Betaine, Cetearyl Alcohol, Disodium Lauryl Sulfosuccinate, Zea Mays (Corn) Starch, Oryza Sativa (Rice) Powder, Glycerin, Betaine, Sodium Methyl Cocoyl Taurate, Magnesium Aluminum Silicate, Prunus Cerasus (Bitter Cherry) Shell Powder, Inulin, Sclerotium Gum, Acer Saccharum (Sugar Maple) Extract, Ascorbyl Palmitate, Benzyl Salicylate, Citronellol, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Ethylhexylglycerin, Fragrance, Galactoarabinan, Helianthus Annuus (Sunflower) Seed Oil, Hexyl Cinnamal, Hydrogenated Castor Oil, Hydrogenated Starch Hydrolysate, Hydroxycitronellal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Lecithin, Maltooligosyl Glucoside, Phenoxyethanol, Rosa Canina Fruit Extract, Rosa Canina Fruit Oil, Rosa Rubiginosa Seed Oil, Saccharum Officinarum (Sugar Cane) Extract, Salicylic Acid, Tetrasodium Glutamate Diacetate, Titanium Dioxide, Tocopherol, Vaccinium Myrtillus Fruit/Leaf Extract."
LANCÔME Énergie de Vie The Illuminating & Anti-Fatigue Cooling Eye Gel,"Water, Glycerin, Alcohol Denat., Niacinamide, Melissa Officinalis Flower/Leaf/Stem Water, Dimethicone, Betaine, Isononyl Isononanoate, Ci 77891, Titanium Dioxide, Ci 19140, Yellow 5, Ci 42090, Blue 1, T-Butyl Alcohol, Tocopherol, Mica, Vaccinium Macrocarpon (Cranberry) Seed Oil, Ascorbyl Glucoside, Sodium Acrylates Crosspolymer-2, Phenoxyethanol, Caffeine, Arginine, Trisodium Ethylenediamine Disuccinate, Chlorphenesin, Silica Silylate, Salicylic Acid, Silica, Melissa Officinalis Leaf Oil, Ammonium Polyacryloyldimethyl Taurate, Dimethiconol, Limonene, Xanthan Gum, Menthoxypropanediol, Panax Ginseng Root Extract Propanediol, Phospholipids, Biosaccharide Gum-1, Carbomer, Citric Acid, Citral, Dextrin, Oryza Sativa Extract, Rice Extract, Fragrance."
MDSOLARSCIENCES Mineral Sunscreen Stick Broad Spectrum SPF 40 UVA-UVB Sunscreen,"Polyethylene, Dimethicone, Butyrospermum Parkii (Shea) Butter, Petrolatum, Butyloctyl, Salicylate, C12-15 Alkyl Benzoate, Undecylcrylene Dimethicone, Neopentyl Glycol Diheptanoate, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Behenyl Olivate, Aluminum Hydroxide, Stearic Acid, Glyceryl Isostearate, Beeswax, Polyhydroxystearic Acid, Cetyl PEG/PPG-10/1 Dimethicone, BHT, Benzylidene Dimethoxydimethylindanone, Tetrahexyldecyl Ascorbate."
FOREO Shimmer Freak Mask,"Polyethylene, Dimethicone, Butyrospermum Parkii (Shea) Butter, Petrolatum, Butyloctyl, Salicylate, C12-15 Alkyl Benzoate, Undecylcrylene Dimethicone, Neopentyl Glycol Diheptanoate, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Behenyl Olivate, Aluminum Hydroxide, Stearic Acid, Glyceryl Isostearate, Beeswax, Polyhydroxystearic Acid, Cetyl PEG/PPG-10/1 Dimethicone, BHT, Benzylidene Dimethoxydimethylindanone, Tetrahexyldecyl Ascorbate."
ORIGINS United State™ Balancing Tonic,"Water; Lavandula Angustifolia (Lavender) Flower Extract, Anthemis Nobilis (Chamomile) Flower Extract, Alcohol Denat., Butylene Glycol, Anthemis Nobilis Flower Oil*, Mentha Viridis (Spearmint) Leaf Oil*, Pelargonium Graveolens Flower Oil*, Lavandula Hybrida Oil*, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Styrax Benzoin Gum, Geraniol, Linalool, Citronellol, Eugenol, Limonene, Hamamelis Virginiana (Witch Hazel) Extract, Oryza Sativa (Rice) Bran Extract, Cladosiphon Okamuranus Extract, Laminaria Saccharina Extract, Eugenia Caryophyllus (Clove) Flower Extract, Hydrolyzed Soy Protein, Hydrolyzed Wheat Protein, Hydrolyzed Corn Protein, Coconut Acid, Jojoba Wax Peg-120 Esters, Caffeine, Glycerin, Polyquaternium-7, Sodium Hyaluronate, Dextrin, Yeast Extract/Faex/Extrait De Levure, Disodium Edta, Phenoxyethanol * Essential Oil Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
MURAD Invisiblur™ Perfecting Shield Broad Spectrum SPF 30 PA+++,"Isododecane, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Caprylyl Methicone, Caprylic/Capric Triglyceride, Phenyl Trimethicone, Diethylhexyl 2,6-Naphthalate, Propylene Glycol Dicaprate, Hydrogenated Soybean Oil, Hydrogenated Soy Polyglycerides, C15-23 Alkane, Helianthus Annuus (Sunflower) Seed Cake, Ribes Nigrum (Black Currant) Seed Extract, Octyldodecanol, Octyldodecyl Oleate, PEG -8 Dimethicone, Octyldodecyl Stearoyl Stearate, Alcohol, Hordeum Vulgare (Barley) Extract, Butylene Glycol, Lentinus Edodes (Shiitake Mushroom) Extract, Mucor Miehei Extract, Paeonia Suffruticosa Root Extract, Ascorbic Acid, Tocopheryl Acetate, Retinyl Palmitate, Silica, Sodium Propoxyhydroxypropyl Thiosulfate Silica, Cucumis Sativus (Cucumber) Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Solidago Virgaurea (Goldenrod) Extract, Benzyl Benzoate, Citral, Hexyl Cinnamal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Limonene, Linalool, Fragrance."
PERRICONE MD H2 Elemental Energy Hydrating Booster Serum,"Water, Methyl Gluceth-20, Ascorbyl Glucoside, Betaine, Ectoin, Hydrolyzed Sodium Hyaluronate, Dipotassium Glycyrrhizate, Sea Whip Extract, Lactobacillus Ferment, Panthenol, Sodium Hyaluronate, Tocopherol, Saccharide Isomerate, Allantoin, 1,2-Hexandiol, Acrylates/Vinyl Isodecanoate Crosspolymer, Butylene Glycol, Caprylyl Glycol, Polysorbate 20, Potassium Hydroxide, Sodium Borohydride, Trisodium Ethylene diamine Disuccinate, Phosphatidycholine."
OMOROVICZA Silver Skin Savior Salicylic/Glycolic Acid Treatment,"Glycerin, Water, Glycolic Acid, Niacinamide, Cetearyl Olivate, Propanediol, Sorbitan Olivate, Yeast Extract, Sodium Hydroxide, Salicylic Acid, Lactic Acid, Parfum (Fragrance), Colloidal Silver, Xanthan Gum, Behenyl Alcohol, Butyrospermum Parkii (Shea Butter), Leuconostoc/Radish Root Ferment Filtrate, Phospholipids, Hydrogenated Castor Oil, Stearyl Alcohol, Protease, Subtilisin, Geraniol, Citronellol, Linalool."
LANEIGE Lip Sleeping Mask,"Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl, Isostearyl, Cetyl, Stearyl, Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax, Cera Microcristallina, Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Euphorbia Cerifera (Candelilla) Wax, Candelilla Cera, Cire de Candelilla, Sucrose Tetrastearate Triacetate, Butylene, Ethylene, Styrene Copolymer, Ethylene, Propylene, Styrene Copolymer, Mica (CI 77019), Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Dimethicone, Fragrance, Parfum, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Copernicia Cerifera (Carnauba) Wax, Cera Carnauba, Cire de Carnauba, Polyglyceryl-2 Triisostearate, Yellow 6 Lake (CI 15985), Red 6 (CI 15850), Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Coffea Arabica (Coffee) Seed Extract, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside."
